type,mean,sd,bootsd,mse,cr,mean,sd,bootsd,mse,cr
AMW11,0.01,0.427,0.401,0.182,0.946,-0.002,0.23,0.231,0.053,0.938
IPW11,-0.044,1.248,0.768,1.558,0.846,-0.008,0.233,0.222,0.055,0.927
AIPW11,-0.051,1.129,0.704,1.277,0.93,-0.006,0.229,0.219,0.053,0.919
PSM11,0.087,0.7,0.598,0.497,0.94,0.005,0.271,0.257,0.073,0.967
AMWF11,0.003,0.319,0.6,0.101,0.952,-0.004,0.214,0.256,0.046,0.963
AMW01,-0.009,0.302,0.309,0.091,0.95,0,0.22,0.224,0.048,0.943
IPW01,0.682,0.231,0.235,0.518,0.17,0.314,0.2,0.2,0.139,0.634
AIPW01,-0.001,0.293,0.296,0.086,0.938,-0.001,0.214,0.21,0.046,0.915
PSM01,0.674,0.3,0.296,0.544,0.315,0.315,0.234,0.236,0.154,0.719
AMWF01,-0.006,0.279,0.339,0.078,0.956,0.002,0.212,0.245,0.045,0.96
AMW10,0.156,0.432,0.392,0.21,0.926,0.023,0.224,0.229,0.051,0.957
IPW10,0.071,1.388,0.732,1.929,0.871,0,0.224,0.222,0.05,0.943
AIPW10,0.085,1.364,0.735,1.867,0.891,0.005,0.223,0.221,0.05,0.948
PSM10,0.103,0.705,0.602,0.507,0.961,0.004,0.265,0.257,0.07,0.973
AMWF10,0.591,0.289,0.609,0.433,0.973,0.28,0.209,0.259,0.122,0.975
AMW00,0.682,0.248,0.26,0.527,0.232,0.32,0.203,0.214,0.144,0.66
IPW00,0.692,0.239,0.236,0.536,0.155,0.321,0.199,0.199,0.143,0.602
AIPW00,0.691,0.244,0.241,0.537,0.163,0.322,0.199,0.199,0.143,0.609
PSM00,0.693,0.305,0.299,0.574,0.307,0.317,0.234,0.237,0.155,0.72
AMWF00,0.66,0.22,0.3,0.484,0.325,0.318,0.198,0.235,0.14,0.724
